iter	Passed	Remaining
0	1	194
1	3	185
2	5	172
3	6	158
4	8	156
5	9	154
6	11	155
7	13	152
8	14	151
9	16	150
10	18	150
11	20	147
12	21	145
13	23	144
14	25	142
15	27	142
16	28	141
17	30	139
18	32	139
19	34	136
20	35	134
21	37	132
22	39	131
23	40	129
24	42	127
25	44	125
26	45	123
27	48	123
28	49	121
29	51	119
30	52	117
31	54	115
32	56	113
33	57	112
34	59	110
35	60	108
36	62	106
37	64	105
38	66	103
39	67	101
40	69	100
41	70	97
42	72	95
43	73	93
44	75	92
45	77	90
46	78	88
47	80	86
48	81	85
49	83	83
50	84	81
51	86	79
52	88	78
53	90	76
54	91	74
55	92	72
56	94	71
57	95	69
58	97	67
59	99	66
60	100	64
61	102	62
62	103	61
63	105	59
64	107	57
65	108	56
66	110	54
67	112	52
68	113	51
69	115	49
70	116	47
71	118	46
72	120	44
73	121	42
74	123	41
75	125	39
76	127	37
77	128	36
78	130	34
79	131	32
80	133	31
81	134	29
82	136	27
83	138	26
84	139	24
85	141	22
86	143	21
87	144	19
88	146	18
89	148	16
90	149	14
91	151	13
92	153	11
93	154	9
94	156	8
95	158	6
96	159	4
97	161	3
98	163	1
99	164	0
