iter	Passed	Remaining
0	147	147019
1	149	74416
2	150	50112
3	153	38194
4	156	31148
5	158	26286
6	160	22800
7	162	20139
8	164	18116
9	166	16484
10	169	15214
11	171	14133
12	173	13170
13	175	12373
14	177	11670
15	179	11040
16	181	10483
17	183	10012
18	185	9596
19	187	9190
20	189	8821
21	191	8502
22	193	8205
23	195	7935
24	197	7705
25	199	7491
26	201	7271
27	203	7069
28	205	6874
29	207	6703
30	209	6550
31	211	6411
32	214	6272
33	215	6134
34	217	6004
35	219	5881
36	221	5767
37	223	5656
38	225	5557
39	227	5466
40	229	5378
41	231	5288
42	234	5209
43	236	5128
44	237	5050
45	240	4980
46	242	4926
47	244	4856
48	246	4789
49	248	4729
50	250	4668
51	252	4611
52	256	4582
53	258	4526
54	260	4472
55	262	4422
56	264	4371
57	266	4324
58	268	4278
59	271	4251
60	274	4222
61	276	4177
62	278	4140
63	280	4098
64	281	4056
65	284	4030
66	287	4010
67	290	3981
68	293	3954
69	295	3928
70	298	3900
71	301	3882
72	303	3857
73	306	3831
74	308	3808
75	310	3780
76	314	3767
77	317	3751
78	319	3727
79	322	3706
80	324	3680
81	326	3659
82	328	3627
83	331	3613
84	333	3591
85	336	3573
86	338	3550
87	340	3531
88	344	3524
89	346	3505
90	349	3490
91	351	3473
92	354	3454
93	357	3443
94	360	3435
95	363	3418
96	365	3402
97	367	3384
98	370	3370
99	373	3360
100	375	3346
101	378	3331
102	380	3316
103	383	3301
104	386	3295
105	389	3282
106	391	3269
107	394	3255
108	396	3241
109	399	3230
110	402	3222
111	404	3210
112	407	3196
113	409	3183
114	412	3172
115	414	3161
116	417	3150
117	419	3138
118	422	3126
119	425	3118
120	427	3105
121	429	3090
122	432	3083
123	435	3073
124	437	3064
125	440	3052
126	441	3035
127	444	3024
128	446	3016
129	449	3008
130	452	2998
131	454	2990
132	457	2979
133	459	2972
134	462	2965
135	465	2954
136	467	2946
137	470	2939
138	474	2939
139	477	2935
140	480	2927
141	482	2916
142	485	2910
143	489	2910
144	493	2907
145	496	2901
146	498	2893
147	501	2885
148	504	2879
149	509	2887
150	511	2878
151	515	2874
152	518	2870
153	521	2864
154	523	2854
155	526	2848
156	530	2848
157	533	2844
158	536	2835
159	538	2829
160	540	2817
161	543	2811
162	546	2807
163	550	2803
164	552	2796
165	554	2787
166	557	2780
167	559	2772
168	563	2769
169	565	2762
170	568	2754
171	570	2747
172	573	2739
173	577	2742
174	580	2735
175	582	2727
176	585	2721
177	587	2713
178	589	2705
179	593	2701
180	595	2695
181	598	2687
182	600	2680
183	602	2673
184	604	2665
185	607	2660
186	610	2654
187	612	2647
188	615	2640
189	618	2634
190	620	2628
191	623	2623
192	625	2617
193	628	2612
194	631	2606
195	634	2600
196	637	2598
197	640	2595
198	643	2590
199	647	2589
200	650	2584
201	654	2584
202	656	2578
203	659	2574
204	662	2568
205	665	2564
206	668	2561
207	671	2556
208	673	2550
209	677	2547
210	684	2560
211	687	2554
212	690	2549
213	693	2548
214	696	2543
215	699	2538
216	701	2532
217	704	2528
218	707	2523
219	710	2517
220	712	2511
221	715	2507
222	718	2503
223	721	2499
224	724	2496
225	727	2491
226	730	2486
227	733	2483
228	736	2480
229	739	2475
230	742	2471
231	744	2465
232	747	2460
233	750	2457
234	753	2453
235	756	2447
236	758	2443
237	761	2439
238	765	2438
239	768	2432
240	770	2427
241	773	2421
242	775	2416
243	779	2415
244	782	2410
245	785	2406
246	787	2401
247	790	2396
248	793	2393
249	796	2388
250	799	2384
251	801	2379
252	803	2373
253	806	2368
254	809	2366
255	812	2361
256	816	2359
257	818	2354
258	822	2351
259	826	2351
260	828	2346
261	831	2341
262	834	2337
263	837	2334
264	840	2330
265	842	2326
266	845	2321
267	847	2315
268	849	2309
269	853	2307
270	856	2303
271	858	2298
272	861	2293
273	863	2289
274	867	2287
275	870	2283
276	873	2279
277	875	2274
278	878	2270
279	881	2267
280	884	2264
281	887	2259
282	889	2254
283	892	2250
284	895	2246
285	898	2243
286	901	2239
287	904	2234
288	906	2230
289	909	2226
290	912	2224
291	915	2220
292	918	2216
293	921	2212
294	923	2207
295	927	2205
296	929	2200
297	932	2196
298	935	2192
299	937	2188
300	941	2186
301	944	2183
302	949	2183
303	951	2178
304	954	2174
305	957	2171
306	960	2168
307	963	2164
308	965	2159
309	968	2155
310	971	2153
311	974	2149
312	977	2145
313	979	2140
314	982	2137
315	986	2135
316	989	2131
317	991	2126
318	994	2123
319	997	2119
320	1000	2115
321	1004	2115
322	1008	2113
323	1013	2113
324	1017	2113
325	1020	2110
326	1023	2106
327	1026	2103
328	1033	2107
329	1035	2102
